question,heading,department
" 948. Deputy Grace Boland asked the Minister for Public Expenditure, Infrastructure, Public Service Reform and Digitalisation the basis on which his Department, or a body under its aegis, may fund the legal costs of an employee or former employee in litigation where that employee is in dispute with, or taking proceedings against, the same body; and if he will make a statement on the matter. [2044/26] ",Departmental Legal Cases,Public Expenditure
" 949. Deputy Grace Boland asked the Minister for Public Expenditure, Infrastructure, Public Service Reform and Digitalisation whether the funding of employee legal costs in disputes against his Department, or a body under its aegis, is standard practice; if not, the circumstances in which such funding may be permitted; and if he will make a statement on the matter. [2062/26] ",Departmental Legal Cases,Public Expenditure
" 950. Deputy Grace Boland asked the Minister for Public Expenditure, Infrastructure, Public Service Reform and Digitalisation to outline the guidance, codes, circulars or directions that govern the payment of legal costs by his Department, and bodies under its aegis, in employment-related disputes, including any requirements under the Code of Practice for the Governance of State Bodies or Departmental sanction arrangements; and if he will make a statement on the matter. [2080/26] ",Departmental Legal Cases,Public Expenditure
" 951. Deputy Grace Boland asked the Minister for Public Expenditure, Infrastructure, Public Service Reform and Digitalisation whether the funding of employee legal costs in litigation against the employing body could give rise to governance, accountability, or value for money concerns; whether his Department has issued any guidance in this regard; and if he will make a statement on the matter. [2098/26] ",Departmental Legal Cases,Public Expenditure
" 952. Deputy Grace Boland asked the Minister for Public Expenditure, Infrastructure, Public Service Reform and Digitalisation whether his Department has reviewed, or intends to review, the practice of Departments, and bodies under their aegis, funding legal costs in employment disputes involving those same bodies; and if so, the outcome or timeline for such a review; and if he will make a statement on the matter. [2116/26] ",Departmental Legal Cases,Public Expenditure
" 953. Deputy Grace Boland asked the Minister for Public Expenditure, Infrastructure, Public Service Reform and Digitalisation whether arrangements to fund legal costs in employment disputes involving his Department, or bodies under its aegis, require the prior approval of his Department or the Department of Public Expenditure, Infrastructure, Public Service Reform and Digitalisation; and if he will make a statement on the matter. [2134/26] ",Departmental Legal Cases,Public Expenditure
" 954. Deputy Richard Boyd Barrett asked the Minister for Public Expenditure, Infrastructure, Public Service Reform and Digitalisation with regard to his Department’s share ownership in Uisce Éireann, whether his Department will conduct a feasibility study, or request Uisce Éireann conduct such a study, into a proposal (details supplied) relating to complementarities between proposed infrastructure for wind energy and water supply in the west of Ireland, alongside communications infrastructure.
 [2177/26] ",Capital Expenditure Programme,Public Expenditure
" 955. Deputy Richard Boyd Barrett asked the Minister for Public Expenditure, Infrastructure, Public Service Reform and Digitalisation if his Department is using artificial intelligence tools for any graphic design or similar work in place of artists, designers or videographers; and if so, to outline which projects or units of the Department are affected. [2252/26] ",Artificial Intelligence,Public Expenditure
" 956. Deputy Richard Boyd Barrett asked the Minister for Public Expenditure, Infrastructure, Public Service Reform and Digitalisation whether any agencies or other bodies under his remit are using artificial intelligence tools for any graphic design or similar work in place of artists, designers or videographers; and if so, to outline which projects or units of the organisation are affected. [2270/26] ",Artificial Intelligence,Public Expenditure
" 957. Deputy John Clendennen asked the Minister for Public Expenditure, Infrastructure, Public Service Reform and Digitalisation to provide a list of the top ten capital or programme projects delivered by his Department or its agencies over the past three years which were completed on time and within the originally approved budget; the project name, location, delivery timeframe, original approved budget, final outturn cost, and delivery body, for each project; and if he will make a statement on the matter. [2434/26] ",Capital Expenditure Programme,Public Expenditure
" 958. Deputy John Clendennen asked the Minister for Public Expenditure, Infrastructure, Public Service Reform and Digitalisation to detail the annual spend on external consultants by his Department and its agencies in each of the past three years; the number of consultancy contracts, the largest individual consultancy engagements by value, and whether internal capacity-building or cost-benefit assessments were undertaken prior to engaging external consultants; and if he will make a statement on the matter. [2452/26] ",Departmental Contracts,Public Expenditure
" 959. Deputy John Clendennen asked the Minister for Public Expenditure, Infrastructure, Public Service Reform and Digitalisation to provide a list, for each of the past three years of the top ten projects per annum delivered by his Department or its agencies which were completed late and over the originally approved budget; the project name, location, original approved completion date, actual completion date, original approved budget, final outturn cost, cost overrun expressed in euro and percentage terms, and the delivery body for each project; and if he will make a statement on the matter. [2470/26] ",Departmental Projects,Public Expenditure
" 960. Deputy John Clendennen asked the Minister for Public Expenditure, Infrastructure, Public Service Reform and Digitalisation for an update on the civil service mobility scheme; when the scheme will be opened to the professional/technical grades; and if he will make a statement on the matter. [2485/26] ",Civil Service,Public Expenditure
" 961. Deputy Shane Moynihan asked the Minister for Enterprise, Tourism and Employment the current regulations governing the use of petrol-powered leaf blowers in urban areas; the restrictions on hours of operation and limits on engine size or emissions. [1667/26] ",Noise Pollution,Enterprise
" 962. Deputy Sinéad Gibney asked the Minister for Enterprise, Tourism and Employment the steps his Department is taking to address AI displacement and a decrease in quality jobs in the tech sector; and if he will make a statement on the matter. [2385/26] ",Artificial Intelligence,Enterprise
" 963. Deputy Sinéad Gibney asked the Minister for Enterprise, Tourism and Employment whether he is aware of the potential redundancies of 400 AI workers taking place at a company (details supplied); whether his Department has engaged with the company on this issue; the steps his Department is taking to protect jobs in the tech sector amid increasing labour displacement; and if he will make a statement on the matter. [2384/26] ",Artificial Intelligence,Enterprise
" 964. Deputy Ciarán Ahern asked the Minister for Enterprise, Tourism and Employment the steps his Department is taking to address the excessive use of Per- and polyfluoroalkyl substances (PFAS), otherwise known as ‘forever chemicals’; if his Department will produce a national PFAS strategy and increase funding for PFAS research and national testing capacity to better understand the associated health risks; if he will enforce a polluter pays liability framework so that reckless PFAS polluters are held responsible; and if he will make a statement on the matter. [73957/25] ",EU Regulations,Enterprise
" 965. Deputy Sinéad Gibney asked the Minister for Enterprise, Tourism and Employment to provide a list of AI pilot projects which have taken place in his Department within the past 12 months; the expenditure associated with those projects; and whether they are still ongoing, in tabular form. [74132/25] ",Artificial Intelligence,Enterprise
" 966. Deputy Sorca Clarke asked the Minister for Enterprise, Tourism and Employment whether standards or service-level targets exist for his Department or bodies under the aegis of his Department, in responding to correspondence from members of local authorities; if compliance with such standards is monitored; the reasons for delays or failures to respond to correspondence from elected members; and the measures being taken to ensure more consistent and timely communication going forward. [74264/25] ",Departmental Consultations,Enterprise
" 967. Deputy Ivana Bacik asked the Minister for Enterprise, Tourism and Employment his plans to lower the threshold at which the artists resale rights apply; and if he will make a statement on the matter. [74273/25] ",Consumer Rights,Enterprise
" 968. Deputy Grace Boland asked the Minister for Enterprise, Tourism and Employment the office rental costs per annum for staff in his Department and for each agency or organisation under his remit, in each of the years between 2015 and 2025 inclusive, in tabular form; and if he will make a statement on the matter. [74447/25] ",Departmental Expenditure,Enterprise
" 969. Deputy Naoise Ó Muirí asked the Minister for Enterprise, Tourism and Employment the payroll cost of his Department and of each organisation or agency under its remit individually, in 2015 to 2025, by year, in tabular form. [74625/25] ",Departmental Expenditure,Enterprise
" 970. Deputy Brian Brennan asked the Minister for Enterprise, Tourism and Employment the amount the IDA invested separately into facilities/industry in locations (details supplied); and if he will make a statement on the matter. [74646/25] ",Industrial Development,Enterprise
" 971. Deputy Louis O'Hara asked the Minister for Enterprise, Tourism and Employment if he has had any engagements with Fáilte Ireland regarding Dunguaire Castle; and if he will make a statement on the matter. [74819/25] ",Tourism Promotion,Enterprise
" 972. Deputy Louis O'Hara asked the Minister for Enterprise, Tourism and Employment if a general employment permit renewal (details supplied) can be reinstated; and if he will make a statement on the matter. [74863/25] ",Work Permits,Enterprise
" 973. Deputy Cathal Crowe asked the Minister for Enterprise, Tourism and Employment the number of data breaches recorded by his Department in 2025; and the number that were reported to the Data Protection Commissioner. [74894/25] ",Data Protection,Enterprise
" 974. Deputy Charles Ward asked the Minister for Enterprise, Tourism and Employment the number of WTE qualified legal advisors working within his Department in 2024 and to-date in 2025, in tabular form; and if he will make a statement on the matter. [74923/25] ",Departmental Staff,Enterprise
" 975. Deputy Brian Stanley asked the Minister for Enterprise, Tourism and Employment the number of visits the IDA carried out with prospective companies to each county in the years 2024 and 2025, in tabular form; and if he will make a statement on the matter. [74993/25] ",Industrial Development,Enterprise
" 976. Deputy Brian Stanley asked the Minister for Enterprise, Tourism and Employment the number of visits the IDA carried out in Laois in 2024and 2025, by year; the number of these visits with prospective companies which were virtual visits; the number which were physical visits; and if he will make a statement on the matter. [74994/25] ",Industrial Development,Enterprise
" 977. Deputy James O'Connor asked the Minister for Enterprise, Tourism and Employment the number of projects in his Department that were delayed in 2023 and 2024 due to the change of document from the Public Spending Code to the Infrastructure Guidelines, in tabular form; and if he will make a statement on the matter. [75108/25] ",Public Spending Code,Enterprise
" 978. Deputy Matt Carthy asked the Minister for Enterprise, Tourism and Employment the salary scale that applies to the Secretary General in his Department and to the head of each agency for which they are responsible; whether this scale has changed in the past two years or whether there are proposals to change this scale in the coming period; and if he will make a statement on the matter. [75194/25] ",Public Sector Pay,Enterprise
" 979. Deputy Matt Carthy asked the Minister for Enterprise, Tourism and Employment the amount expended on advertising and promotion in his Department, and within each agency for which he is responsible, for 2022 to 2024, by year and budgeted for 2026; and if he will make a statement on the matter. [75212/25] ",Departmental Advertising,Enterprise
" 980. Deputy Matt Carthy asked the Minister for Enterprise, Tourism and Employment the number of press, media or communications staff currently employed in his Department and within each agency for which he is responsible; the cost of these staff for 2025 and the expected cost for 2026; whether there are proposals to increase the number of such staff; and if he will make a statement on the matter. [75230/25] ",Departmental Staff,Enterprise
" 981. Deputy Matt Carthy asked the Minister for Enterprise, Tourism and Employment the estimated cost to his Department and to each agency for which they are responsible arising from Ireland’s presidency of the European Council; the line items or events for which a cost is expected to arise and the estimated cost for each; and if he will make a statement on the matter. [75248/25] ",EU Presidency,Enterprise
" 982. Deputy Matt Carthy asked the Minister for Enterprise, Tourism and Employment the priorities of his Department and each agency for which they are responsible for, in respect of Ireland’s presidency of the European Council; and if he will make a statement on the matter. [75266/25] ",EU Presidency,Enterprise
" 983. Deputy Ken O'Flynn asked the Minister for Enterprise, Tourism and Employment the analysis undertaken by his Department of the cumulative impact on Irish small and medium-sized enterprises of recent and forthcoming changes to customs and tariff rules affecting parcel exports to the United States, the United Kingdom and the European Union; and the policy supports are planned to assist businesses facing increased administrative burdens and costs. [1038/26] ",Business Supports,Enterprise
" 984. Deputy Pa Daly asked the Minister for Enterprise, Tourism and Employment the status of the research his Department is carrying out to assess to economic impact of data centres in Ireland; when this research was originally commissioned; to report on any insights garnered to date; if any of the research was presented to the CRU as part of their process of updating Ireland’s large energy user connection policy; if any of the research has been used to inform any projects / on going pieces of work; and if he will make a statement on the matter. [1222/26] ",Data Centres,Enterprise
" 985. Deputy Duncan Smith asked the Minister for Enterprise, Tourism and Employment the reason companies (details supplied) have not been fined for facilitating the sale of tickets above face value; the reason this company is able to operate in the Irish market; the way in which he plans to tackle the frequent scalping of tickets that continues despite legislation outlawing it; and if he will make a statement on the matter. [1381/26] ",Consumer Protection,Enterprise
" 986. Deputy Marie Sherlock asked the Minister for Enterprise, Tourism and Employment his plans for a policy of leave for those who experience early pregnancy loss (details supplied); and if he will make a statement on the matter. [1388/26] ",Employment Rights,Enterprise
" 987. Deputy Mairéad Farrell asked the Minister for Enterprise, Tourism and Employment if his attention has been drawn to the use of AI systems to generate explicit deepfakes of real, identifiable people without their consent; if he considers this practice unlawful, the plans to prevent such content spreading online; and if he will make a statement on the matter. [1448/26] ",Social Media,Enterprise
" 988. Deputy Mairéad Farrell asked the Minister for Enterprise, Tourism and Employment the action the Government is taking to ensure that social media companies are taking action to detect, remove and mitigate the spread of harmful and illegal material, including content involving minors or non-consensual imagery; and if he will make a statement on the matter.  [1449/26] ",Social Media,Enterprise
" 989. Deputy Maeve O'Connell asked the Minister for Enterprise, Tourism and Employment if his Department has investigated vet practice competition and pricing to assess if it is a competitive market. [1607/26] ",Consumer Prices,Enterprise
" 990. Deputy Maeve O'Connell asked the Minister for Enterprise, Tourism and Employment if his Department will require pricing for the top ten veterinary procedures to be published and publicly available to consumers; and where ""pet plans"" available prices will be included with and without said ""pet plan"" to enable transparency. [1608/26] ",Consumer Prices,Enterprise
" 991. Deputy Albert Dolan asked the Minister for Enterprise, Tourism and Employment the date on which a supplementary estimate or supplementary estimates was sought in respect of his Department’s Vote for each of the past ten years, and to the date in 2026; the gross and net amount involved in each case; and the Vote subheads to which each supplementary estimate related. [1791/26] ",Departmental Budgets,Enterprise
" 992. Deputy Albert Dolan asked the Minister for Enterprise, Tourism and Employment the value of expenditure originally allocated in the Estimates to specific programmes or staffing measures that could not be spent as planned within the year for each of the past five years; and whether such underspends were surrendered, carried forward, or reallocated to other areas within the Vote. [1812/26] ",Departmental Budgets,Enterprise
" 993. Deputy Naoise Ó Cearúil asked the Minister for Enterprise, Tourism and Employment the way in which the signing of the National Charter for Digital Inclusion by a company (details supplied) will translate into practical digital-skills supports for SMEs and workers; and if he will make a statement on the matter. [1843/26] ",Departmental Policies,Enterprise
" 994. Deputy Naoise Ó Cearúil asked the Minister for Enterprise, Tourism and Employment the way in which the additional €23 million for Ireland’s European digital innovation hubs will expand AI, cybersecurity and wider digital-adoption supports for SMEs and public bodies during phase 2; and if he will make a statement on the matter. [1844/26] ",Digital Hubs,Enterprise
" 995. Deputy Brendan Smith asked the Minister for Enterprise, Tourism and Employment if additional financial support will be made available to local authorities and community groups to develop enterprise centres or work spaces (details supplied); if his Department and the statutory agencies under the remit of his Department will give this request further urgent consideration in view of longstanding commitments to address this issue; and if he will make a statement on the matter. [1852/26] ",Departmental Budgets,Enterprise
" 996. Deputy William Aird asked the Minister for Enterprise, Tourism and Employment the additional supports being considered for small and medium-sized enterprises in rural towns such as Abbeyleix, Mountmellick, Mountrath and Portarlington, particularly in light of rising operational costs and recruitment challenges; and if he will make a statement on the matter. [1867/26] ",Departmental Budgets,Enterprise
" 997. Deputy William Aird asked the Minister for Enterprise, Tourism and Employment the number of IDA and Enterprise Ireland client visits to County Laois in the past 12 months; the progress on securing new investment for the National Enterprise Park in Portlaoise; the strategy for increasing foreign direct investment in the Midlands; and if he will make a statement on the matter. [1868/26] ",Departmental Data,Enterprise
" 998. Deputy William Aird asked the Minister for Enterprise, Tourism and Employment the supports available to tourism-related enterprises in County Laois, including those connected to heritage, outdoor recreation and hospitality; if additional measures are planned to strengthen the county’s tourism economy; and if he will make a statement on the matter. [1870/26] ",Tourism Funding,Enterprise
" 999. Deputy William Aird asked the Minister for Enterprise, Tourism and Employment if his Department has assessed the potential of stronger remote working legislation to retain graduates and skilled workers in counties such as Laois; if this forms part of the Government’s regional enterprise strategy; and if he will make a statement on the matter. [1871/26] ",Legislative Programme,Enterprise
" 1000. Deputy William Aird asked the Minister for Enterprise, Tourism and Employment the measures being taken to address rising business costs in the midlands region, particularly labour, energy, and water costs; if specific supports will be introduced to safeguard competitiveness for local enterprises; and if he will make a statement on the matter. [1872/26] ",Departmental Budgets,Enterprise
" 1001. Deputy William Aird asked the Minister for Enterprise, Tourism and Employment the way in which his Department is supporting local authorities and tourism agencies in developing infrastructure to host major cultural and sporting events, including facilities upgrades, accommodation expansion and accessibility improvements; if he will outline the midlands' preparedness for upcoming international events in 2026 and beyond; and if he will make a statement on the matter.  [1876/26] ",Tourism Promotion,Enterprise
" 1002. Deputy Barry Heneghan asked the Minister for Enterprise, Tourism and Employment if his Department will examine the financial burden on businesses and non-EEA employees associated with the €1,500 cost of renewing a general employment permit after the initial two-year period; if consideration will be given to reducing or restructuring these fees to ensure that the cost is not disproportionately placed on either immigrant workers or small and medium enterprises, many of whom are currently under significant financial pressure; and if he will make a statement on the matter. [69884/25] ",Departmental Budgets,Enterprise
" 1003. Deputy Paul Murphy asked the Minister for Enterprise, Tourism and Employment if he will abolish the exemption of apprentices from the national minimum wage; and if he will make a statement on the matter. [67678/25] ",Wage-setting Mechanisms,Enterprise
" 1004. Deputy Joe Neville asked the Minister for Enterprise, Tourism and Employment the way in which his Department plans to target Irish tourism overseas in its capital investment strategy under the National Development Plan; and if he will make a statement on the matter. [1888/26] ",Tourism Policy,Enterprise
" 1005. Deputy Joe Neville asked the Minister for Enterprise, Tourism and Employment if his Department plans to continue to support Irish SMEs with the introduction of improved AI and other cutting edge digital technologies; and if he will make a statement on the matter. [1889/26] ",Departmental Functions,Enterprise
" 1006. Deputy Cathy Bennett asked the Minister for Enterprise, Tourism and Employment if he could provide a breakdown of his Department’s €4.7 billion capital investment strategy, ‘Start Up Ireland’, for the next five years; and if he will make a statement on the matter. [1905/26] ",Departmental Strategies,Enterprise
" 1007. Deputy Sinéad Gibney asked the Minister for Enterprise, Tourism and Employment the current average waiting time for a WRC adjudication hearing to be heard from the time the complaints are submitted; and if he will make a statement on the matter. [1912/26] ",Departmental Data,Enterprise
" 1008. Deputy Sinéad Gibney asked the Minister for Enterprise, Tourism and Employment the average waiting time for a WRC adjudication hearing to be heard from the time the complaints are submitted for each month in 2025; and if he will make a statement on the matter. [1913/26] ",Departmental Data,Enterprise
" 1009. Deputy Emer Currie asked the Minister for Enterprise, Tourism and Employment the supports and measures available to small businesses impacted by retail crime and break-ins; and if he will make a statement on the matter. [1966/26] ",Business Supports,Enterprise
" 1010. Deputy Emer Currie asked the Minister for Enterprise, Tourism and Employment whether his Department plans to increase the supports and measures available to small businesses impacted by retail crime and break-ins during the lifetime of this Government; and if he will make a statement on the matter. [1968/26] ",Business Supports,Enterprise
" 1011. Deputy Barry Ward asked the Minister for Enterprise, Tourism and Employment the position regarding any product or service purchased from Israel or the Occupied Territories by his Department in 2025, broken down by description and amount paid; and if he will make a statement on the matter. [1979/26] ",Departmental Expenditure,Enterprise
" 1012. Deputy Grace Boland asked the Minister for Enterprise, Tourism and Employment whether his Department, or any body under its aegis, has funded, or is funding, other than where legal costs were awarded against the employer by a court or tribunal, the legal costs of any current or concluded litigation taken by an employee or former employee against that Department or body, in each of the past five years; if so, to provide details of the number of such cases, the bodies involved, and the total costs incurred in each year; and if he will make a statement on the matter. [2019/26] ",Departmental Legal Cases,Enterprise
" 1013. Deputy Grace Boland asked the Minister for Enterprise, Tourism and Employment the basis on which his Department, or a body under its aegis, may fund the legal costs of an employee or former employee in litigation where that employee is in dispute with, or taking proceedings against, the same body; and if he will make a statement on the matter. [2037/26] ",Departmental Legal Cases,Enterprise
" 1014. Deputy Grace Boland asked the Minister for Enterprise, Tourism and Employment whether the funding of employee legal costs in disputes against his Department, or a body under its aegis, is standard practice; if not, the circumstances in which such funding may be permitted; and if he will make a statement on the matter. [2055/26] ",Departmental Legal Cases,Enterprise
" 1015. Deputy Grace Boland asked the Minister for Enterprise, Tourism and Employment to outline the guidance, codes, circulars or directions that govern the payment of legal costs by his Department, and bodies under its aegis, in employment-related disputes, including any requirements under the Code of Practice for the Governance of State Bodies or Departmental sanction arrangements; and if he will make a statement on the matter. [2073/26] ",Departmental Legal Cases,Enterprise
" 1016. Deputy Grace Boland asked the Minister for Enterprise, Tourism and Employment whether the funding of employee legal costs in litigation against the employing body could give rise to governance, accountability, or value for money concerns; whether his Department has issued any guidance in this regard; and if he will make a statement on the matter. [2091/26] ",Departmental Legal Cases,Enterprise
" 1017. Deputy Grace Boland asked the Minister for Enterprise, Tourism and Employment whether his Department has reviewed, or intends to review, the practice of Departments, and bodies under their aegis, funding legal costs in employment disputes involving those same bodies; and if so, the outcome or timeline for such a review; and if he will make a statement on the matter. [2109/26] ",Departmental Legal Cases,Enterprise
" 1018. Deputy Grace Boland asked the Minister for Enterprise, Tourism and Employment whether arrangements to fund legal costs in employment disputes involving his Department, or bodies under its aegis, require the prior approval of his Department or the Department of Public Expenditure, Infrastructure, Public Service Reform and Digitalisation; and if he will make a statement on the matter. [2127/26] ",Departmental Legal Cases,Enterprise
" 1019. Deputy Tony McCormack asked the Minister for Enterprise, Tourism and Employment how enterprise supports are being aligned with tourism development to maximise economic spill-over for local suppliers, service providers and community-based businesses; and if he will make a statement on the matter. [2145/26] ",Tourism Policy,Enterprise
" 1020. Deputy Richard Boyd Barrett asked the Minister for Enterprise, Tourism and Employment if his Department is using artificial intelligence tools for any graphic design or similar work in place of artists, designers or videographers; and, if so, to outline which projects or units of the Department are affected.  [2245/26] ",Artificial Intelligence,Enterprise
" 1021. Deputy Richard Boyd Barrett asked the Minister for Enterprise, Tourism and Employment whether any agencies or other bodies under his remit are using artificial intelligence tools for any graphic design or similar work in place of artists, designers or videographers; and, if so, to outline which projects or units of the organisation are affected.  [2263/26] ",Artificial Intelligence,Enterprise
" 1022. Deputy Ciarán Ahern asked the Minister for Enterprise, Tourism and Employment if it can be ensured that an employment permit refusal appeal (details supplied) is granted, and that the individual in question is granted a permit; and if he will make a statement on the matter. [2290/26] ",Work Permits,Enterprise
" 1023. Deputy Sinéad Gibney asked the Minister for Enterprise, Tourism and Employment whether he is aware of instances of companies using payment in lieu of notice to avoid employees attaining two years’ service needed to be entitled to statutory redundancy; whether his Department has any plans to address this issue; and if he will make a statement on the matter. [2416/26] ",Departmental Policies,Enterprise
" 1024. Deputy John Clendennen asked the Minister for Enterprise, Tourism and Employment to provide a list of the top ten capital or programme projects delivered by his Department or its agencies over the past three years which were completed on time and within the originally approved budget; the project name, location, delivery timeframe, original approved budget, final outturn cost, and delivery body, for each project; and if he will make a statement on the matter. [2427/26] ",Departmental Projects,Enterprise
" 1025. Deputy John Clendennen asked the Minister for Enterprise, Tourism and Employment to detail the annual spend on external consultants by his Department and its agencies in each of the past three years; the number of consultancy contracts, the largest individual consultancy engagements by value, and whether internal capacity-building or cost-benefit assessments were undertaken prior to engaging external consultants; and if he will make a statement on the matter. [2445/26] ",Departmental Contracts,Enterprise
" 1026. Deputy John Clendennen asked the Minister for Enterprise, Tourism and Employment to provide a list, for each of the past three years of the top ten projects per annum delivered by his Department or its agencies which were completed late and over the originally approved budget; the project name, location, original approved completion date, actual completion date, original approved budget, final outturn cost, cost overrun expressed in euro and percentage terms, and the delivery body for each project; and if he will make a statement on the matter. [2463/26] ",Departmental Projects,Enterprise
" 1027. Deputy John Clendennen asked the Minister for Enterprise, Tourism and Employment when a referendum will be held to ratify the Agreement on a Unified Patent Court, the International Agreement for which was signed by Ireland in 2013; and if he will make a statement on the matter. [2477/26] ",International Agreements,Enterprise
" 1028. Deputy John Clendennen asked the Minister for Enterprise, Tourism and Employment for an update on the progress of the Retail Crime Strategy; and if he will make a statement on the matter. [2479/26] ",Departmental Strategies,Enterprise
 1029. Deputy Emer Currie asked the Minister for Education and Youth the position regarding a project (details supplied); and if she will make a statement on the matter. [1570/26] ,Departmental Projects,Education
" 1030. Deputy Paul Murphy asked the Minister for Education and Youth if the use of Class 1 Urban buses for school contracts which sees children without seat belts carried on roads which have speed limits over 65 KMH is permitted by her Department, or the NTA; and if she will make a statement on the matter. [73890/25] ",School Transport,Education
" 1031. Deputy Paul Murphy asked the Minister for Education and Youth her views of the Sixmilebridge school transport controversy in 2024, with the use of unbelted buses given that new data shows 26,000 such deployments over 11 months in 2025.; and if she will make a statement on the matter. [73893/25] ",School Transport,Education
" 1032. Deputy Barry Ward asked the Minister for Education and Youth the position regarding any funding stream to support the provision of an all-weather dome structure to cover an existing pitch facility in a secondary school, to allow the pitch be used all year round; and if she will make a statement on the matter. [73951/25] ",Departmental Funding,Education
 1033. Deputy Cathal Crowe asked the Minister for Education and Youth when a person (details supplied) will receive additional pay owed; and if she will make a statement on the matter. [73974/25] ,Departmental Inquiries,Education
" 1034. Deputy Mattie McGrath asked the Minister for Education and Youth further to Parliamentary Question No. 383 of 9 December 2025, if she will provide the information requested in the question (details supplied) in the interest of transparency and forward planning for all stakeholders as previous response failed to provide the information requested, specifically the number of children nationwide who sought a letter of eligibility for a place in a special class or special school through the parents notify portal, before the deadline of 1 October 2025, by county; the number seeking a letter of eligibility for a place in a special class and special school in South Tipperary; the number of children who have been issued with a letter of eligibility in South Tipperary; the reason the numbers have not been provided or will not be provided; and if she will make a statement on the matter. [73986/25] ",Special Educational Needs,Education
 1035. Deputy Roderic O'Gorman asked the Minister for Education and Youth her plans for tree planting and biodiversity at the site of (details supplied); if there could be planting of trees along the periphery wall for residents’ privacy; the funding available for schools to apply for tree planting; and if she will make a statement on the matter. [74004/25] ,Departmental Funding,Education
" 1036. Deputy Liam Quaide asked the Minister for Education and Youth if she accepts that survivors affected by the judgment of the European Court of Human Rights in a case (details supplied) continue to lack access to an effective, independent redress mechanism; whether any proposal has been brought to Government since June 2020 to establish such a mechanism; and if not, when such a proposal will be advanced; and if she will make a statement on the matter. [74013/25] ",European Court of Human Rights,Education
" 1037. Deputy Liam Quaide asked the Minister for Education and Youth the concrete measures which are currently in place to ensure the State’s compliance with its positive obligations under article three of the European Convention on Human Rights following the judgment in a case (details supplied); whether she accepts the assessment of the organisation, that compliance remains incomplete; and the timeframe within which full implementation will be achieved; and if she will make a statement on the matter. [74014/25] ",European Court of Human Rights,Education
 1038. Deputy Ruairí Ó Murchú asked the Minister for Education and Youth the engagement on the removal of the need for an AON for children with additional needs to receive an appropriate school place; the timeline for the full implementation of this policy; and if she will make a statement on the matter. [74022/25] ,Special Educational Needs,Education
" 1039. Deputy Sinéad Gibney asked the Minister for Education and Youth to provide a list of AI pilot projects which have taken place in her Department within the past 12 months; the expenditure associated with those projects; and whether they are still ongoing, in tabular form. [74131/25] ",Artificial Intelligence,Education
 1040. Deputy Pádraig O'Sullivan asked the Minister for Education and Youth for an update on an emergency works application (details supplied); and if she will make a statement on the matter. [74188/25] ,School Facilities,Education
 1041. Deputy Pearse Doherty asked the Minister for Education and Youth when a child in Donegal will be provided with access to their chosen school (details supplied); and if she will make a statement on the matter. [74193/25] ,School Admissions,Education
 1042. Deputy Cormac Devlin asked the Minister for Education and Youth to provide an update on a school building project (details supplied); and if she will make a statement on the matter. [74218/25] ,Schools Building Projects,Education
 1043. Deputy Emer Currie asked the Minister for Education and Youth her plans to address recruitment and retention issues in the education sector; and if she will make a statement on the matter. [74248/25] ,Departmental Staff,Education
 1044. Deputy Emer Currie asked the Minister for Education and Youth her plans to address recruitment and retention issues from affecting subject choice in post-primary schools; and if she will make a statement on the matter. [74249/25] ,Departmental Staff,Education
" 1045. Deputy Emer Currie asked the Minister for Education and Youth when her Department will formally announce the reforms to the way in which teachers get CID, changing from the current two consecutive years for CID to one year; and if she will make a statement on the matter. [74250/25] ",Departmental Strategies,Education
" 1046. Deputy Sorca Clarke asked the Minister for Education and Youth whether standards or service-level targets exist for her Department or bodies under the aegis of her Department, in responding to correspondence from members of local authorities; if compliance with such standards is monitored; the reasons for delays or failures to respond to correspondence from elected members; and the measures being taken to ensure more consistent and timely communication going forward. [74255/25] ",Departmental Consultations,Education
" 1047. Deputy Matt Carthy asked the Minister for Education and Youth further to parliamentary question No. 287 of 4 December 2025, the average timeframe in which applications for additional accommodation by schools are decided; the status of the application for a school (details supplied), and if she will expedite the process in this instance considering the severe pressure on the school at present; and if she will make a statement on the matter. [74276/25] ",School Accommodation,Education
 1048. Deputy Aengus Ó Snodaigh asked the Minister for Education and Youth if the funding for the extension approved and previously promised for a school (details supplied) will proceed; if she will meet with the school to discuss the project further; and if she will make a statement on the matter. [74289/25] ,Schools Building Projects,Education
" 1049. Deputy Eoghan Kenny asked the Minister for Education and Youth if her Department was aware that a new special educational assessment would be required for children to access a special class, school or unit for academic year 2026-2027, prior to the announcement made by the Minister for Children, Disability and Equality; and if she will make a statement on the matter. [74299/25] ",Special Educational Needs,Education
" 1050. Deputy Eoghan Kenny asked the Minister for Education and Youth when she was made aware of the decision to introduce a new special educational assessment that would be required for children to access a special class, school or unit for academic year 2026-2027; to provide official documentation between the Department of Education and Youth and the Department of Children, Disability and Equality outlining the decision to establish the new special educational assessment; and if she will make a statement on the matter. [74300/25] ",Special Educational Needs,Education
" 1051. Deputy Eoghan Kenny asked the Minister for Education and Youth following the announcement of a new special educational assessment, if she has established this unit within her Department; when they began their work; the length of time it will take to establish the unit; and if she will make a statement on the matter. [74301/25] ",Special Educational Needs,Education
